sku_id,product_id,sku_name,color,specification,market_price,sale_price,cost_price,barcode,sku_status
SKU0000001,P000001,标准款-基础版,星空蓝,小号,1530.77,1111.65,849.87,6900000000001,active
SKU0000002,P000001,云朵白-中号,星空蓝,中号,1340.46,1090.62,650.77,6900000000002,active
SKU0000003,P000002,标准款-升级版,曜石黑,小号,485.37,338.44,176.1,6900000000003,active
SKU0000004,P000002,云朵白-旗舰版,星空蓝,旗舰版,490.67,322.39,228.78,6900000000004,active
SKU0000005,P000003,标准款-中号,曜石黑,升级版,2662.94,2019.59,1018.04,6900000000005,active
SKU0000006,P000003,标准款-旗舰版,曜石黑,中号,2688.74,2269.84,1490.37,6900000000006,active
SKU0000007,P000004,活力橙-基础版,活力橙,升级版,1098.01,887.83,598.94,6900000000007,active
SKU0000008,P000004,云朵白-升级版,标准款,升级版,1006.9,803.36,462.73,6900000000008,active
SKU0000009,P000005,活力橙-中号,活力橙,中号,2788.02,2234.23,1577.38,6900000000009,active
SKU0000010,P000005,曜石黑-基础版,云朵白,中号,2769.96,2069.06,1207.15,6900000000010,active
SKU0000011,P000006,标准款-中号,云朵白,基础版,1566.27,1164.87,682.56,6900000000011,active
SKU0000012,P000006,活力橙-基础版,云朵白,中号,1480.55,1330.05,656.9,6900000000012,active
SKU0000013,P000007,云朵白-中号,曜石黑,中号,352.72,281.26,191.11,6900000000013,active
SKU0000014,P000007,云朵白-大号,标准款,升级版,341.08,284.5,141.61,6900000000014,active
SKU0000015,P000008,活力橙-大号,星空蓝,基础版,4489.23,3502.72,2379.1,6900000000015,active
SKU0000016,P000008,云朵白-旗舰版,暖杏色,大号,3976.9,2971.27,1914.63,6900000000016,active
SKU0000017,P000009,星空蓝-基础版,曜石黑,旗舰版,3370.56,2467.04,1828.46,6900000000017,active
SKU0000018,P000009,曜石黑-旗舰版,星空蓝,大号,3405.06,2330.15,1475.12,6900000000018,active
SKU0000019,P000010,暖杏色-小号,标准款,旗舰版,678.95,511.06,303.84,6900000000019,active
SKU0000020,P000010,云朵白-基础版,标准款,基础版,632.39,486.9,333.48,6900000000020,active
SKU0000021,P000011,云朵白-基础版,暖杏色,升级版,2029.69,1597.31,870.25,6900000000021,active
SKU0000022,P000011,云朵白-小号,云朵白,升级版,2043.69,1750.89,1296.9,6900000000022,active
SKU0000023,P000012,标准款-基础版,标准款,升级版,942.34,745.62,544.77,6900000000023,inactive
SKU0000024,P000012,标准款-小号,标准款,基础版,1015.28,859.63,449.4,6900000000024,active
SKU0000025,P000013,暖杏色-小号,标准款,小号,2234.15,1535.37,1127.29,6900000000025,active
SKU0000026,P000013,暖杏色-小号,云朵白,中号,2128.47,1403.39,716.87,6900000000026,active
SKU0000027,P000014,暖杏色-升级版,云朵白,升级版,3434.91,2436.18,1683.1,6900000000027,active
SKU0000028,P000014,标准款-小号,标准款,中号,3505.05,2895.89,2087.15,6900000000028,active
SKU0000029,P000015,活力橙-升级版,星空蓝,中号,1828.78,1170.11,735.09,6900000000029,active
SKU0000030,P000015,曜石黑-升级版,暖杏色,基础版,1898.49,1354.73,892.41,6900000000030,active
SKU0000031,P000016,云朵白-小号,暖杏色,基础版,2054.88,1655.66,1272.07,6900000000031,active
SKU0000032,P000016,标准款-升级版,标准款,大号,2006.15,1413.59,790.86,6900000000032,active
SKU0000033,P000017,曜石黑-中号,暖杏色,大号,1892.92,1536.73,793.43,6900000000033,active
SKU0000034,P000017,标准款-旗舰版,曜石黑,升级版,1844.5,1458.46,899.34,6900000000034,inactive
SKU0000035,P000018,暖杏色-小号,星空蓝,基础版,2658.31,2307.16,1505.99,6900000000035,active
SKU0000036,P000018,活力橙-升级版,曜石黑,小号,2792.62,2190.76,1216.59,6900000000036,active
SKU0000037,P000019,暖杏色-小号,曜石黑,旗舰版,3601.81,2871.31,1888.01,6900000000037,active
SKU0000038,P000019,曜石黑-旗舰版,暖杏色,大号,3859.47,3295.39,2312.73,6900000000038,active
SKU0000039,P000020,云朵白-中号,曜石黑,旗舰版,3499.39,2959.64,1909.16,6900000000039,active
SKU0000040,P000020,活力橙-大号,活力橙,基础版,3785.12,2592.14,1639.92,6900000000040,active
SKU0000041,P000021,暖杏色-小号,标准款,大号,1912.78,1374.34,952.67,6900000000041,active
SKU0000042,P000021,星空蓝-大号,活力橙,基础版,1851.81,1578.74,990.09,6900000000042,active
SKU0000043,P000022,活力橙-小号,星空蓝,基础版,911.53,732.71,504.81,6900000000043,active
SKU0000044,P000022,云朵白-升级版,星空蓝,小号,921.08,665.11,437.16,6900000000044,active
SKU0000045,P000023,活力橙-旗舰版,暖杏色,旗舰版,3385.54,3307.18,2214.44,6900000000045,active
SKU0000046,P000023,曜石黑-旗舰版,云朵白,旗舰版,3466.67,3249.7,1569.61,6900000000046,active
SKU0000047,P000024,暖杏色-大号,活力橙,旗舰版,2570.09,2143.81,1185.74,6900000000047,active
SKU0000048,P000024,曜石黑-基础版,标准款,小号,2979.55,2082.45,1188.09,6900000000048,active
SKU0000049,P000025,云朵白-大号,曜石黑,基础版,1531.04,1126.07,645.24,6900000000049,active
SKU0000050,P000025,标准款-旗舰版,曜石黑,中号,1441.01,1303.07,660.36,6900000000050,active
SKU0000051,P000026,标准款-旗舰版,星空蓝,升级版,1393.77,1099.3,754.36,6900000000051,active
