supplier_id,supplier_name,region,province,city,supplier_grade,lead_time_days,on_time_rate,status
SUP0001,昆明模拟供应链001号,西南,云南,昆明,B,23,0.8233,active
SUP0002,厦门模拟供应链002号,华南,福建,厦门,B,26,0.9447,active
SUP0003,青岛模拟供应链003号,华东,山东,青岛,C,7,0.9569,active
SUP0004,南京模拟供应链004号,华东,江苏,南京,B,18,0.8841,suspended
SUP0005,厦门模拟供应链005号,华南,福建,厦门,B,26,0.8915,active
SUP0006,厦门模拟供应链006号,华南,福建,厦门,B,11,0.9562,active
SUP0007,贵阳模拟供应链007号,西南,贵州,贵阳,C,19,0.8366,active
SUP0008,郑州模拟供应链008号,华中,河南,郑州,B,22,0.8792,suspended
SUP0009,郑州模拟供应链009号,华中,河南,郑州,A,28,0.9214,active
SUP0010,南昌模拟供应链010号,华中,江西,南昌,B,15,0.8337,active
SUP0011,南宁模拟供应链011号,华南,广西,南宁,A,27,0.9694,active
SUP0012,天津模拟供应链012号,华北,天津,天津,B,21,0.9662,active
SUP0013,深圳模拟供应链013号,华南,广东,深圳,C,26,0.9636,suspended
SUP0014,杭州模拟供应链014号,华东,浙江,杭州,A,8,0.8543,active
SUP0015,厦门模拟供应链015号,华南,福建,厦门,C,15,0.9417,active
SUP0016,广州模拟供应链016号,华南,广东,广州,A,24,0.89,active
SUP0017,深圳模拟供应链017号,华南,广东,深圳,A,24,0.915,active
SUP0018,上海模拟供应链018号,华东,上海,上海,B,9,0.9159,active
SUP0019,青岛模拟供应链019号,华东,山东,青岛,C,22,0.971,active
SUP0020,北京模拟供应链020号,华北,北京,北京,A,22,0.9467,active
SUP0021,青岛模拟供应链021号,华东,山东,青岛,B,6,0.9216,active
SUP0022,南宁模拟供应链022号,华南,广西,南宁,B,18,0.8649,active
SUP0023,深圳模拟供应链023号,华南,广东,深圳,B,7,0.8855,active
SUP0024,昆明模拟供应链024号,西南,云南,昆明,A,19,0.8355,active
SUP0025,厦门模拟供应链025号,华南,福建,厦门,B,18,0.9699,active
SUP0026,南京模拟供应链026号,华东,江苏,南京,B,26,0.885,active
SUP0027,北京模拟供应链027号,华北,北京,北京,B,12,0.9674,active
SUP0028,上海模拟供应链028号,华东,上海,上海,C,18,0.8215,active
SUP0029,青岛模拟供应链029号,华东,山东,青岛,C,15,0.8277,active
SUP0030,太原模拟供应链030号,华北,山西,太原,B,27,0.8268,suspended
SUP0031,昆明模拟供应链031号,西南,云南,昆明,B,28,0.8652,active
SUP0032,青岛模拟供应链032号,华东,山东,青岛,B,26,0.8244,active
SUP0033,上海模拟供应链033号,华东,上海,上海,A,20,0.9361,active
SUP0034,南京模拟供应链034号,华东,江苏,南京,B,7,0.9083,active
SUP0035,杭州模拟供应链035号,华东,浙江,杭州,A,23,0.9526,active
SUP0036,太原模拟供应链036号,华北,山西,太原,C,27,0.9371,active
SUP0037,上海模拟供应链037号,华东,上海,上海,C,15,0.9257,active
SUP0038,北京模拟供应链038号,华北,北京,北京,C,27,0.8236,active
SUP0039,重庆模拟供应链039号,西南,重庆,重庆,A,7,0.936,active
SUP0040,重庆模拟供应链040号,西南,重庆,重庆,B,6,0.8995,suspended
SUP0041,重庆模拟供应链041号,西南,重庆,重庆,A,11,0.9792,active
SUP0042,武汉模拟供应链042号,华中,湖北,武汉,A,16,0.8657,active
SUP0043,天津模拟供应链043号,华北,天津,天津,A,15,0.9537,active
SUP0044,武汉模拟供应链044号,华中,湖北,武汉,B,25,0.8461,active
SUP0045,上海模拟供应链045号,华东,上海,上海,C,10,0.9139,active
SUP0046,青岛模拟供应链046号,华东,山东,青岛,B,9,0.9186,active
SUP0047,天津模拟供应链047号,华北,天津,天津,C,15,0.9578,active
SUP0048,厦门模拟供应链048号,华南,福建,厦门,B,12,0.8841,active
SUP0049,太原模拟供应链049号,华北,山西,太原,C,14,0.9518,active
SUP0050,天津模拟供应链050号,华北,天津,天津,A,19,0.9404,active
SUP0051,南宁模拟供应链051号,华南,广西,南宁,B,5,0.8654,active
SUP0052,昆明模拟供应链052号,西南,云南,昆明,B,15,0.8439,active
SUP0053,天津模拟供应链053号,华北,天津,天津,A,7,0.8488,active
SUP0054,深圳模拟供应链054号,华南,广东,深圳,B,19,0.8924,active
SUP0055,石家庄模拟供应链055号,华北,河北,石家庄,C,5,0.824,active
SUP0056,武汉模拟供应链056号,华中,湖北,武汉,C,6,0.9726,active
SUP0057,北京模拟供应链057号,华北,北京,北京,B,24,0.8838,active
SUP0058,上海模拟供应链058号,华东,上海,上海,B,20,0.8595,active
SUP0059,成都模拟供应链059号,西南,四川,成都,B,16,0.9306,active
SUP0060,长沙模拟供应链060号,华中,湖南,长沙,A,14,0.8378,active
SUP0061,天津模拟供应链061号,华北,天津,天津,B,23,0.9067,active
SUP0062,青岛模拟供应链062号,华东,山东,青岛,B,24,0.9835,active
SUP0063,郑州模拟供应链063号,华中,河南,郑州,B,21,0.9564,active
SUP0064,天津模拟供应链064号,华北,天津,天津,A,22,0.8515,active
SUP0065,郑州模拟供应链065号,华中,河南,郑州,A,14,0.8904,active
SUP0066,厦门模拟供应链066号,华南,福建,厦门,B,12,0.9025,active
SUP0067,深圳模拟供应链067号,华南,广东,深圳,B,6,0.8753,active
SUP0068,南京模拟供应链068号,华东,江苏,南京,B,12,0.9587,active
SUP0069,广州模拟供应链069号,华南,广东,广州,C,9,0.9582,active
SUP0070,成都模拟供应链070号,西南,四川,成都,B,12,0.8892,active
SUP0071,厦门模拟供应链071号,华南,福建,厦门,B,24,0.8337,active
SUP0072,太原模拟供应链072号,华北,山西,太原,B,7,0.9597,active
SUP0073,上海模拟供应链073号,华东,上海,上海,A,20,0.9584,active
SUP0074,郑州模拟供应链074号,华中,河南,郑州,B,25,0.9606,active
SUP0075,郑州模拟供应链075号,华中,河南,郑州,B,15,0.9191,active
SUP0076,石家庄模拟供应链076号,华北,河北,石家庄,B,16,0.9349,active
SUP0077,长沙模拟供应链077号,华中,湖南,长沙,B,28,0.8362,active
SUP0078,太原模拟供应链078号,华北,山西,太原,C,9,0.9873,active
SUP0079,深圳模拟供应链079号,华南,广东,深圳,A,26,0.9182,active
SUP0080,厦门模拟供应链080号,华南,福建,厦门,B,8,0.8552,active
SUP0081,太原模拟供应链081号,华北,山西,太原,C,9,0.9791,active
SUP0082,深圳模拟供应链082号,华南,广东,深圳,A,12,0.9379,active
SUP0083,南昌模拟供应链083号,华中,江西,南昌,C,10,0.86,active
SUP0084,厦门模拟供应链084号,华南,福建,厦门,B,7,0.8807,active
SUP0085,北京模拟供应链085号,华北,北京,北京,A,14,0.9623,active
SUP0086,北京模拟供应链086号,华北,北京,北京,C,9,0.9888,active
SUP0087,广州模拟供应链087号,华南,广东,广州,C,23,0.952,active
SUP0088,长沙模拟供应链088号,华中,湖南,长沙,B,18,0.8298,active
SUP0089,南昌模拟供应链089号,华中,江西,南昌,B,24,0.9734,active
SUP0090,贵阳模拟供应链090号,西南,贵州,贵阳,B,26,0.8828,active
SUP0091,成都模拟供应链091号,西南,四川,成都,C,18,0.859,active
SUP0092,太原模拟供应链092号,华北,山西,太原,A,20,0.9115,active
SUP0093,石家庄模拟供应链093号,华北,河北,石家庄,B,7,0.8817,active
SUP0094,杭州模拟供应链094号,华东,浙江,杭州,B,8,0.911,active
SUP0095,南宁模拟供应链095号,华南,广西,南宁,A,21,0.9554,active
SUP0096,杭州模拟供应链096号,华东,浙江,杭州,B,19,0.9374,active
SUP0097,武汉模拟供应链097号,华中,湖北,武汉,B,11,0.9149,active
SUP0098,青岛模拟供应链098号,华东,山东,青岛,B,15,0.9653,active
SUP0099,南昌模拟供应链099号,华中,江西,南昌,B,22,0.9429,active
SUP0100,南宁模拟供应链100号,华南,广西,南宁,B,12,0.8809,active
SUP0101,青岛模拟供应链101号,华东,山东,青岛,C,14,0.9477,active
SUP0102,北京模拟供应链102号,华北,北京,北京,A,24,0.8778,active
SUP0103,南昌模拟供应链103号,华中,江西,南昌,B,11,0.8397,active
SUP0104,杭州模拟供应链104号,华东,浙江,杭州,A,21,0.9094,active
SUP0105,杭州模拟供应链105号,华东,浙江,杭州,A,13,0.9148,active
SUP0106,南昌模拟供应链106号,华中,江西,南昌,A,28,0.8767,active
SUP0107,成都模拟供应链107号,西南,四川,成都,B,25,0.8474,active
SUP0108,太原模拟供应链108号,华北,山西,太原,B,20,0.9363,active
SUP0109,杭州模拟供应链109号,华东,浙江,杭州,C,8,0.887,active
SUP0110,上海模拟供应链110号,华东,上海,上海,A,18,0.8936,active
SUP0111,广州模拟供应链111号,华南,广东,广州,B,26,0.9587,active
SUP0112,厦门模拟供应链112号,华南,福建,厦门,B,28,0.9269,active
SUP0113,北京模拟供应链113号,华北,北京,北京,B,8,0.9023,active
SUP0114,杭州模拟供应链114号,华东,浙江,杭州,A,12,0.8772,active
SUP0115,北京模拟供应链115号,华北,北京,北京,A,10,0.9146,active
SUP0116,南京模拟供应链116号,华东,江苏,南京,A,17,0.8921,active
SUP0117,上海模拟供应链117号,华东,上海,上海,A,20,0.9445,active
