target_id,target_month,store_id,gmv_target,net_revenue_target,order_target,conversion_rate_target,owner_name
TGT0000001,2026-01,S0001,1446855.73,1140695.99,2849,0.0352,负责人02
TGT0000002,2026-01,S0002,1453943.35,1321605.84,2036,0.0489,负责人03
TGT0000003,2026-01,S0003,540827.98,466364.78,1866,0.0714,负责人04
TGT0000004,2026-01,S0004,1221352.37,960093.35,2680,0.0592,负责人05
TGT0000005,2026-01,S0005,469170.09,421658.22,1777,0.0777,负责人06
TGT0000006,2026-01,S0006,712450.33,618121.2,566,0.0654,负责人07
TGT0000007,2026-01,S0007,1698456.97,1592317.67,3158,0.0354,负责人08
TGT0000008,2026-01,S0008,874309.36,806624.6,1745,0.0615,负责人09
TGT0000009,2026-01,S0009,873682.69,804163.29,2139,0.0849,负责人10
TGT0000010,2026-01,S0010,1780292.99,1458458.27,922,0.0881,负责人11
TGT0000011,2026-01,S0011,1614767.81,1374918.69,2495,0.0293,负责人12
TGT0000012,2026-01,S0012,1742844.42,1629264.54,1960,0.0475,负责人13
TGT0000013,2026-01,S0013,874659.69,694985.06,3866,0.057,负责人14
TGT0000014,2026-01,S0014,746534.24,589659.75,1470,0.0745,负责人15
TGT0000015,2026-01,S0015,383529.23,315903.41,1582,0.0777,负责人16
TGT0000016,2026-01,S0016,1128980.92,929021.33,4123,0.0537,负责人17
TGT0000017,2026-01,S0017,724991.58,650221.37,2986,0.0762,负责人18
TGT0000018,2026-01,S0018,1106704.69,939404.29,4149,0.0569,负责人19
TGT0000019,2026-01,S0019,582030.44,510215.46,529,0.0388,负责人20
TGT0000020,2026-01,S0020,1431375.51,1179124.39,2964,0.0612,负责人21
TGT0000021,2026-01,S0021,1042569.23,977025.67,3034,0.0815,负责人22
TGT0000022,2026-01,S0022,429376.06,339460.38,1375,0.0751,负责人23
TGT0000023,2026-01,S0023,1369115.67,1277673.28,933,0.074,负责人24
TGT0000024,2026-01,S0024,373389.91,324716.24,3893,0.0389,负责人25
TGT0000025,2026-01,S0025,935888.36,857936.63,3030,0.047,负责人26
TGT0000026,2026-01,S0026,1411869.8,1113858.95,704,0.0447,负责人27
TGT0000027,2026-01,S0027,509445.18,460299.98,1934,0.0837,负责人28
TGT0000028,2026-01,S0028,482552.64,378555.64,4073,0.0872,负责人29
TGT0000029,2026-01,S0029,1397493.73,1297490.48,591,0.0877,负责人30
TGT0000030,2026-01,S0030,1013095.01,898328.77,4002,0.0868,负责人01
