message_id,ticket_id,sender_type,message_content,sent_at,message_type
TM00000001,TK0000001,bot,请提供相关订单信息,2026-02-15 22:13:50,text
TM00000002,TK0000002,bot,请提供相关订单信息,2025-12-23 01:01:51,text
TM00000003,TK0000003,user,申请退款或补发,2025-08-08 03:48:51,text
TM00000004,TK0000004,bot,问题已处理，请确认,2026-03-17 08:13:33,text
TM00000005,TK0000005,user,感谢您的耐心等待,2026-04-16 09:15:30,text
TM00000006,TK0000006,agent,请提供相关订单信息,2025-06-23 03:03:16,text
TM00000007,TK0000007,user,感谢您的耐心等待,2025-02-03 23:04:39,text
TM00000008,TK0000008,user,感谢您的耐心等待,2025-06-25 15:54:01,text
TM00000009,TK0000009,agent,申请退款或补发,2025-01-15 10:16:09,text
TM00000010,TK0000010,user,请提供相关订单信息,2025-09-15 14:59:26,text
TM00000011,TK0000011,bot,问题已处理，请确认,2025-05-22 10:59:23,text
TM00000012,TK0000012,agent,申请退款或补发,2025-11-16 12:16:39,text
TM00000013,TK0000013,bot,请提供相关订单信息,2025-06-27 03:28:18,text
TM00000014,TK0000014,user,感谢您的耐心等待,2025-05-08 18:12:49,text
TM00000015,TK0000015,bot,感谢您的耐心等待,2025-07-25 03:02:13,text
TM00000016,TK0000016,agent,问题已处理，请确认,2025-03-28 21:29:32,text
TM00000017,TK0000017,user,咨询当前处理进度,2026-01-18 17:48:03,text
TM00000018,TK0000018,agent,咨询当前处理进度,2026-06-06 12:50:01,system
TM00000019,TK0000019,user,问题已处理，请确认,2025-04-18 20:21:20,text
TM00000020,TK0000020,user,感谢您的耐心等待,2026-07-14 16:59:52,text
TM00000021,TK0000021,user,申请退款或补发,2025-09-10 15:07:38,text
TM00000022,TK0000022,agent,感谢您的耐心等待,2025-07-20 10:11:13,text
TM00000023,TK0000023,user,申请退款或补发,2025-12-08 04:21:46,text
TM00000024,TK0000024,agent,问题已处理，请确认,2026-04-14 18:02:05,text
TM00000025,TK0000025,bot,咨询当前处理进度,2026-01-24 13:21:53,text
TM00000026,TK0000026,user,已收到您的问题，正在核实,2026-04-04 12:17:15,text
TM00000027,TK0000027,agent,咨询当前处理进度,2025-09-17 12:59:30,text
TM00000028,TK0000028,user,已收到您的问题，正在核实,2025-04-07 09:55:25,text
TM00000029,TK0000029,agent,申请退款或补发,2025-04-05 11:38:23,text
TM00000030,TK0000030,user,申请退款或补发,2025-03-16 02:45:22,text
TM00000031,TK0000031,agent,已收到您的问题，正在核实,2025-07-15 15:38:54,text
TM00000032,TK0000032,user,请提供相关订单信息,2026-04-04 22:05:48,text
TM00000033,TK0000033,user,请提供相关订单信息,2026-01-18 04:31:12,text
TM00000034,TK0000034,agent,已收到您的问题，正在核实,2026-03-09 13:07:52,text
TM00000035,TK0000035,agent,已收到您的问题，正在核实,2025-08-26 06:19:14,text
TM00000036,TK0000036,user,感谢您的耐心等待,2026-05-01 13:41:37,image
TM00000037,TK0000037,user,问题已处理，请确认,2025-01-23 22:51:58,text
TM00000038,TK0000038,bot,咨询当前处理进度,2025-05-10 08:11:47,text
TM00000039,TK0000039,user,问题已处理，请确认,2025-09-11 12:46:45,text
TM00000040,TK0000040,user,申请退款或补发,2025-06-20 22:57:37,image
TM00000041,TK0000041,user,咨询当前处理进度,2025-05-25 14:34:04,text
TM00000042,TK0000042,user,请提供相关订单信息,2025-02-12 02:11:35,text
TM00000043,TK0000043,agent,已收到您的问题，正在核实,2026-01-18 14:19:54,text
TM00000044,TK0000044,user,请提供相关订单信息,2026-08-15 16:10:12,text
TM00000045,TK0000045,user,感谢您的耐心等待,2025-02-02 10:32:24,text
TM00000046,TK0000046,user,感谢您的耐心等待,2026-02-02 00:17:55,text
TM00000047,TK0000047,bot,感谢您的耐心等待,2026-03-11 20:10:29,text
TM00000048,TK0000048,agent,咨询当前处理进度,2025-11-04 16:14:10,text
TM00000049,TK0000049,user,请提供相关订单信息,2025-07-17 02:57:36,text
TM00000050,TK0000050,agent,感谢您的耐心等待,2025-10-18 12:28:47,text
TM00000051,TK0000051,agent,问题已处理，请确认,2026-03-04 06:36:41,text
TM00000052,TK0000052,agent,问题已处理，请确认,2025-09-05 21:00:59,text
TM00000053,TK0000053,agent,咨询当前处理进度,2025-10-12 19:26:16,text
TM00000054,TK0000054,agent,申请退款或补发,2026-01-16 06:15:09,text
TM00000055,TK0000055,agent,已收到您的问题，正在核实,2025-07-16 11:38:21,text
TM00000056,TK0000056,agent,问题已处理，请确认,2025-03-05 05:50:11,text
TM00000057,TK0000057,agent,已收到您的问题，正在核实,2025-01-12 08:38:28,text
TM00000058,TK0000058,bot,请提供相关订单信息,2025-03-29 22:49:25,text
TM00000059,TK0000059,agent,已收到您的问题，正在核实,2025-11-23 14:20:51,text
TM00000060,TK0000060,user,申请退款或补发,2026-05-04 04:48:54,text
TM00000061,TK0000061,agent,感谢您的耐心等待,2026-07-24 16:24:15,text
TM00000062,TK0000062,user,申请退款或补发,2026-03-04 19:26:22,text
TM00000063,TK0000063,agent,请提供相关订单信息,2026-04-16 11:17:52,text
TM00000064,TK0000064,user,已收到您的问题，正在核实,2025-02-02 17:02:49,text
TM00000065,TK0000065,agent,问题已处理，请确认,2025-01-14 06:40:44,text
TM00000066,TK0000066,agent,咨询当前处理进度,2026-06-27 08:06:51,image
TM00000067,TK0000067,bot,问题已处理，请确认,2026-06-07 16:52:23,text
TM00000068,TK0000068,user,已收到您的问题，正在核实,2025-04-10 18:07:14,text
TM00000069,TK0000069,user,已收到您的问题，正在核实,2026-05-07 23:03:57,text
TM00000070,TK0000070,agent,请提供相关订单信息,2025-02-14 18:54:29,text
TM00000071,TK0000071,user,咨询当前处理进度,2025-08-11 07:56:00,text
TM00000072,TK0000072,agent,请提供相关订单信息,2025-06-08 20:56:10,text
TM00000073,TK0000073,agent,问题已处理，请确认,2025-06-05 13:11:43,text
TM00000074,TK0000074,bot,请提供相关订单信息,2025-04-09 21:54:25,text
TM00000075,TK0000075,agent,请提供相关订单信息,2025-01-25 12:23:06,text
TM00000076,TK0000076,user,咨询当前处理进度,2025-04-07 01:10:42,text
TM00000077,TK0000077,user,问题已处理，请确认,2025-10-11 23:12:35,text
TM00000078,TK0000078,agent,咨询当前处理进度,2025-09-25 08:52:36,text
TM00000079,TK0000079,user,请提供相关订单信息,2025-08-23 12:30:10,text
TM00000080,TK0000080,user,感谢您的耐心等待,2026-04-16 04:53:19,text
TM00000081,TK0000081,agent,咨询当前处理进度,2026-02-02 03:41:38,text
TM00000082,TK0000082,agent,咨询当前处理进度,2025-01-12 08:28:15,text
