store_id,store_name,store_type,region,province,city,opened_date,status,commission_rate
S0001,新尚001店,专营店,华东,江苏,南京,2024-06-20,active,0.154
S0002,星选002店,品牌旗舰店,华东,江苏,南京,2024-10-19,active,0.1517
S0003,星选003店,自营,华东,山东,青岛,2025-05-18,active,0.0574
S0004,星选004店,品牌旗舰店,华中,湖南,长沙,2023-01-31,active,0.0928
S0005,优品005店,品牌旗舰店,华南,广东,深圳,2023-03-08,active,0.1367
S0006,优品006店,专营店,西南,云南,昆明,2025-03-27,active,0.0317
S0007,新尚007店,品牌旗舰店,华北,河北,石家庄,2023-08-29,active,0.0468
S0008,星选008店,专营店,华东,江苏,南京,2024-04-01,closed,0.0438
S0009,乐购009店,品牌旗舰店,华东,江苏,南京,2023-08-25,active,0.1091
S0010,乐购010店,专营店,华南,广东,深圳,2024-05-10,active,0.0731
S0011,悦享011店,品牌旗舰店,华东,山东,青岛,2023-06-22,active,0.0333
S0012,乐购012店,品牌旗舰店,华北,北京,北京,2024-02-28,active,0.1517
S0013,臻品013店,品牌旗舰店,华东,江苏,南京,2024-11-14,active,0.1075
S0014,乐购014店,专营店,华中,湖南,长沙,2024-08-16,active,0.0718
S0015,新尚015店,品牌旗舰店,华东,上海,上海,2024-05-07,active,0.1392
S0016,优品016店,品牌旗舰店,西南,四川,成都,2024-01-25,active,0.1319
S0017,新尚017店,品牌旗舰店,华北,河北,石家庄,2025-08-29,active,0.1393
S0018,臻品018店,自营,华东,江苏,南京,2024-11-19,active,0.0371
S0019,星选019店,专营店,华北,山西,太原,2023-08-06,active,0.1207
S0020,乐购020店,专营店,华东,江苏,南京,2024-05-01,active,0.1052
S0021,新尚021店,品牌旗舰店,华南,广东,深圳,2025-06-12,active,0.1476
S0022,臻品022店,品牌旗舰店,华东,山东,青岛,2025-09-01,active,0.1451
S0023,星选023店,专营店,华中,湖南,长沙,2025-07-15,active,0.145
S0024,新尚024店,专营店,华南,广东,广州,2025-01-20,active,0.1571
S0025,臻品025店,自营,西南,贵州,贵阳,2024-08-23,active,0.0382
S0026,悦享026店,品牌旗舰店,华北,山西,太原,2024-09-10,active,0.1204
S0027,乐购027店,专营店,华中,河南,郑州,2022-12-23,active,0.1446
S0028,悦享028店,专营店,西南,四川,成都,2024-02-29,active,0.0496
S0029,新尚029店,专营店,华南,广西,南宁,2023-11-18,active,0.1194
S0030,臻品030店,品牌旗舰店,西南,重庆,重庆,2024-01-01,active,0.1561
S0031,悦享031店,专营店,华东,江苏,南京,2024-11-15,active,0.0829
S0032,臻品032店,自营,华北,北京,北京,2024-05-31,active,0.0867
S0033,悦享033店,品牌旗舰店,华南,福建,厦门,2024-11-26,active,0.1001
S0034,星选034店,专营店,华南,福建,厦门,2024-05-06,active,0.0693
S0035,乐购035店,专营店,西南,重庆,重庆,2025-05-22,active,0.1218
S0036,臻品036店,品牌旗舰店,华南,广西,南宁,2025-08-18,active,0.1547
S0037,优品037店,品牌旗舰店,华中,江西,南昌,2024-09-30,active,0.1588
S0038,星选038店,专营店,华东,江苏,南京,2024-03-01,active,0.0825
S0039,星选039店,专营店,西南,重庆,重庆,2023-11-12,active,0.0826
S0040,臻品040店,品牌旗舰店,华南,福建,厦门,2023-07-05,active,0.1119
S0041,臻品041店,专营店,华南,福建,厦门,2024-04-01,active,0.1162
S0042,臻品042店,品牌旗舰店,华东,上海,上海,2025-07-17,active,0.1458
S0043,优品043店,自营,华南,广东,深圳,2023-12-08,active,0.0733
S0044,优品044店,品牌旗舰店,华中,河南,郑州,2023-09-22,closed,0.0546
S0045,悦享045店,品牌旗舰店,华东,山东,青岛,2024-07-12,active,0.0898
S0046,新尚046店,专营店,华南,广东,广州,2024-07-26,active,0.0351
S0047,优品047店,自营,华北,北京,北京,2023-10-20,active,0.1139
S0048,优品048店,品牌旗舰店,华南,广西,南宁,2024-07-31,active,0.1591
S0049,星选049店,品牌旗舰店,华中,湖南,长沙,2022-11-09,active,0.0537
S0050,新尚050店,品牌旗舰店,华南,广西,南宁,2024-04-12,active,0.1348
S0051,星选051店,品牌旗舰店,华东,山东,青岛,2025-02-23,active,0.0729
S0052,新尚052店,品牌旗舰店,华东,山东,青岛,2025-10-09,active,0.1277
S0053,悦享053店,自营,华东,江苏,南京,2025-05-04,active,0.0708
S0054,乐购054店,品牌旗舰店,华中,江西,南昌,2023-04-20,active,0.067
S0055,新尚055店,专营店,华南,广西,南宁,2023-04-18,active,0.1332
S0056,星选056店,专营店,华北,河北,石家庄,2023-11-04,closed,0.0734
S0057,星选057店,专营店,西南,重庆,重庆,2023-12-16,active,0.0957
S0058,星选058店,自营,华中,江西,南昌,2022-11-29,active,0.0434
S0059,乐购059店,品牌旗舰店,华东,江苏,南京,2025-02-08,active,0.0655
S0060,优品060店,品牌旗舰店,华东,山东,青岛,2023-10-31,active,0.1189
S0061,臻品061店,品牌旗舰店,华东,江苏,南京,2024-12-04,active,0.062
S0062,悦享062店,自营,华东,江苏,南京,2025-07-01,active,0.1415
S0063,臻品063店,专营店,华北,山西,太原,2024-06-21,paused,0.0805
S0064,乐购064店,品牌旗舰店,华北,山西,太原,2025-05-22,active,0.0612
S0065,悦享065店,品牌旗舰店,华北,山西,太原,2023-01-05,closed,0.1176
S0066,优品066店,品牌旗舰店,华东,山东,青岛,2025-07-29,active,0.0833
S0067,星选067店,品牌旗舰店,华南,广东,深圳,2024-09-05,active,0.1095
S0068,悦享068店,自营,华东,江苏,南京,2023-09-21,active,0.0691
S0069,星选069店,自营,华东,上海,上海,2023-05-21,active,0.1597
S0070,悦享070店,品牌旗舰店,华北,天津,天津,2025-09-15,active,0.1278
S0071,星选071店,专营店,华南,广东,广州,2022-11-06,active,0.054
S0072,新尚072店,品牌旗舰店,华北,天津,天津,2023-07-13,active,0.0949
S0073,悦享073店,自营,华北,河北,石家庄,2023-05-07,active,0.0847
S0074,优品074店,品牌旗舰店,华东,浙江,杭州,2025-08-04,active,0.1195
S0075,臻品075店,专营店,华北,河北,石家庄,2024-06-02,active,0.1339
S0076,臻品076店,品牌旗舰店,华中,江西,南昌,2025-10-16,active,0.0384
S0077,臻品077店,专营店,华东,浙江,杭州,2024-04-22,active,0.1212
S0078,优品078店,品牌旗舰店,西南,云南,昆明,2023-11-16,active,0.063
S0079,新尚079店,自营,华南,福建,厦门,2024-09-15,active,0.1412
S0080,新尚080店,品牌旗舰店,华南,广西,南宁,2022-11-22,active,0.0821
