warehouse_id,warehouse_name,region,province,city,capacity_units,status
W001,杭州中心仓01,华东,浙江,杭州,19210,active
W002,广州中心仓02,华南,广东,广州,46055,active
W003,石家庄中心仓03,华北,河北,石家庄,49726,active
W004,昆明中心仓04,西南,云南,昆明,23351,active
W005,长沙前置仓05,华中,湖南,长沙,8534,active
W006,杭州前置仓06,华东,浙江,杭州,22270,active
W007,深圳协同仓07,华南,广东,深圳,19647,active
W008,太原协同仓08,华北,山西,太原,10872,active
W009,贵阳中心仓09,西南,贵州,贵阳,19624,active
W010,郑州中心仓10,华中,河南,郑州,38304,active
W011,青岛中心仓11,华东,山东,青岛,11325,active
W012,广州前置仓12,华南,广东,广州,29400,active
W013,天津中心仓13,华北,天津,天津,43428,active
W014,贵阳协同仓14,西南,贵州,贵阳,7387,active
W015,武汉前置仓15,华中,湖北,武汉,16341,active
W016,青岛中心仓16,华东,山东,青岛,28524,active
